subchannel,region,brand,week,variable,value
Subchannel A,Region B,Brand A,2022-06-11,total_distribution,1.57142857142857
Subchannel A,Region B,Brand A,2022-06-18,total_distribution,1.4
Subchannel A,Region B,Brand A,2022-06-25,total_distribution,1.4
Subchannel A,Region B,Brand A,2022-07-02,total_distribution,1.5
Subchannel A,Region B,Brand A,2022-07-09,total_distribution,1.25
Subchannel A,Region B,Brand A,2022-07-16,total_distribution,1.5
Subchannel A,Region B,Brand A,2022-07-23,total_distribution,1.66666666666666
Subchannel A,Region B,Brand A,2022-07-30,total_distribution,1.0
Subchannel A,Region B,Brand A,2022-08-06,total_distribution,1.42857142857142
Subchannel A,Region B,Brand A,2022-08-13,total_distribution,1.125
Subchannel A,Region B,Brand A,2022-08-20,total_distribution,1.0
Subchannel A,Region B,Brand A,2022-08-27,total_distribution,1.57142857142857
Subchannel A,Region B,Brand A,2022-09-03,total_distribution,1.85714285714285
Subchannel A,Region B,Brand A,2022-09-10,total_distribution,1.18181818181818
Subchannel A,Region B,Brand A,2022-09-17,total_distribution,2.1
Subchannel A,Region B,Brand A,2022-09-24,total_distribution,2.125
Subchannel A,Region B,Brand A,2022-10-01,total_distribution,2.125
Subchannel A,Region B,Brand A,2022-10-08,total_distribution,2.11111111111111
Subchannel A,Region B,Brand A,2022-10-15,total_distribution,1.7
Subchannel A,Region B,Brand A,2022-10-22,total_distribution,1.5
Subchannel A,Region B,Brand A,2022-10-29,total_distribution,2.4
Subchannel A,Region B,Brand A,2022-11-05,total_distribution,1.36363636363636
Subchannel A,Region B,Brand A,2022-11-12,total_distribution,1.7
Subchannel A,Region B,Brand A,2022-11-19,total_distribution,1.25
Subchannel A,Region B,Brand A,2022-11-26,total_distribution,1.5
Subchannel A,Region B,Brand A,2022-12-03,total_distribution,1.8
Subchannel A,Region B,Brand A,2022-12-10,total_distribution,1.0
Subchannel A,Region B,Brand A,2022-12-17,total_distribution,2.0
Subchannel A,Region B,Brand A,2022-12-24,total_distribution,1.3
Subchannel A,Region B,Brand A,2022-12-31,total_distribution,1.75
Subchannel A,Region B,Brand A,2023-01-07,total_distribution,1.625
Subchannel A,Region B,Brand A,2023-01-14,total_distribution,1.53846153846153
Subchannel A,Region B,Brand A,2023-01-21,total_distribution,2.2
Subchannel A,Region B,Brand A,2023-01-28,total_distribution,1.54545454545454
Subchannel A,Region B,Brand A,2023-02-04,total_distribution,1.72727272727272
Subchannel A,Region B,Brand A,2023-02-11,total_distribution,1.72727272727272
Subchannel A,Region B,Brand A,2023-02-18,total_distribution,1.84615384615384
Subchannel A,Region B,Brand A,2023-02-25,total_distribution,1.4
Subchannel A,Region B,Brand A,2023-03-04,total_distribution,2.0
Subchannel A,Region B,Brand A,2023-03-11,total_distribution,2.0
Subchannel A,Region B,Brand A,2023-03-18,total_distribution,1.3
Subchannel A,Region B,Brand A,2023-03-25,total_distribution,2.0
Subchannel A,Region B,Brand A,2023-04-01,total_distribution,1.69230769230769
Subchannel A,Region B,Brand A,2023-04-08,total_distribution,1.5
Subchannel A,Region B,Brand A,2023-04-15,total_distribution,1.0
Subchannel A,Region B,Brand A,2023-04-22,total_distribution,1.14285714285714
Subchannel A,Region B,Brand A,2023-04-29,total_distribution,1.0
Subchannel A,Region B,Brand A,2023-05-06,total_distribution,1.0
Subchannel A,Region B,Brand A,2023-05-13,total_distribution,1.0
Subchannel A,Region B,Brand A,2023-05-20,total_distribution,1.0
Subchannel A,Region B,Brand A,2023-05-27,total_distribution,1.5
Subchannel A,Region B,Brand A,2023-06-03,total_distribution,1.0
Subchannel A,Region B,Brand A,2023-06-10,total_distribution,2.0
Subchannel A,Region B,Brand A,2023-06-17,total_distribution,1.0
Subchannel A,Region B,Brand A,2023-06-24,total_distribution,1.0
